Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Chollo,Probabilidad_Chollo
Intel Core i3-N305,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,442.99,1,0.96
Qualcomm-X1E-78-100,,,,,14.0,2240x1400,,59.0,2028.0,0,0.09
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,613.0,0,0.14
Intel Core Ultra 5-125H,16.0,DDR5,,,14.0,1920x1200,,56.0,1493.99,1,0.97
AMD Ryzen 7-8840HS,16.0,DDR5,1.0,AMD Radeon Graphics,16.0,2880x1800,Windows 11 Home,68.0,1274.99,0,0.03
Intel Core i3-N305,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,489.99,1,0.79
Intel Core i5-1235U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,551.99,1,0.99
Qualcomm Snapdragon-X1E-78-100,16.0,DDR5,1.0,Qualcomm Adreno GPU,14.0,2240x1400,Windows 11 Home,59.0,1274.99,0,0.01
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,661.99,1,1.0
AMD Ryzen 5-5625U,16.0,DDR4,1000.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,590.99,0,0.41
AMD Ryzen 5-7520U,16.0,DDR5,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,537.0,0,0.14
Intel Core i5-1334U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Pro,42.0,999.23,1,0.99
AMD Ryzen 5-7520U,8.0,DDR5,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,540.0,0,0.13
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,630.99,1,1.0
Intel Core Ultra 7-155H,32.0,DDR5,,,16.0,1920x1200,,86.0,2637.99,1,0.76
Intel Core Ultra 7-165H,32.0,DDR5,,,16.0,1920x1200,,86.0,2974.0,0,0.46
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,608.99,0,0.14
Intel Core i7-13650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,99.0,1679.0,0,0.21
Intel Core i5-12450H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,No,52.0,1020.08,1,1.0
