Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio
Intel Core i5-13420H,16,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,38,"596,99"
Intel Core i3-1215U,8,DDR4,256,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,38,"393,99"
Intel Core i5-,8,DDR4,256,Intel® UHD Graphics 620,13.3,1920x1080,Windows 10 Pro,51,"329,89"
Intel Core i7-1355U,16,DDR5,1,Intel Iris Xe Graphics,13.3,2880x1800,Windows 11 Home,80,"2327,99"
Intel Core i7-1355U,8,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38,"622,99"
Intel Core i7-1255U,16,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,48,"641,00"
Intel Core i7-1360P,32,DDR5,1,Intel Iris Xe Graphics,17,2560x1600,Windows 11 Home,90,"1817,00"
AMD Ryzen 7-5700U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,No,42,"645,99"
Intel Core i5-12450H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47,"689,00"
AMD Ryzen 7-5700U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,48,"562,99"
AMD Ryzen 7-7730U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38,"576,00"
Intel Core i7-13620H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,60,"1499,99"
Intel Core i3-1315U,8,DDR4,512,Intel® UHD Graphics,14,1920x1080,Windows 11 Home,38,"563,99"
Intel Core i3-1215U,8,DDR4,256,Intel® UHD Graphics,15.6,1920x1080,No,38,"371,00"
AMD Ryzen 7-7435HS,24,DDR5,1,No disponible,15.6,1920x1080,No,60,"1100,99"
Intel Core Ultra 7-155H,32,DDR5,1,Intel Arc Graphics,16,2048x1280,Windows 11 Home,76,"1314,99"
AMD Ryzen 5-7530U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"537,99"
Intel Core i5-1334U,16,DDR5,512,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,,"528,00"
AMD Ryzen 5-7520U,8,DDR5,256,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38,"551,00"
Intel Core i5-13420H,16,DDR5,1,Intel® UHD Graphics,16,1920x1200,Windows 11 Home,47,"767,99"
Intel Core i5-1334U,8,DDR5,512,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,,"475,00"
Intel Core 5-i5-1135G7,8,DDR4,,No disponible,15.6,1920x1080,,45,"329,99"
AMD Ryzen 7-7730U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"593,99"
Intel Core i5-1235U,16,DDR5,256,Intel Iris Xe Graphics,12.4,1536x1024,Windows 11 Pro,41,"1302,99"
AMD Ryzen 7-5700U,16,DDR4,1,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42,"731,99"
Intel Core Ultra 7-155H,16,DDR5,512,Intel Arc Graphics,16,2560x1600,No,77,"1136,99"
Intel Core i3-1215U,8,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,No,38,"441,00"
AMD Ryzen 7-5700U,16,DDR4,1,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42,"701,99"
Intel Core i7-13620H,16,DDR5,1,,14,2880x1800,Windows 11 Home,63,"1098,99"
Intel Core i7-9850H,32,DDR4,1,Intel® UHD Graphics 630,15.6,1920x1080,Windows 10 Pro,,"1429,18"
Intel Core Ultra 5-125H,16,DDR5,512,Intel Arc Graphics,15.6,,Windows 11 Home,55,"911,99"
Intel Core i5-12450HX,24,DDR5,512,Intel® UHD Graphics,15.6,1920x1080,No,60,"901,99"
AMD Ryzen 5-7520U,8,DDR5,512,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38,"441,99"
AMD Ryzen 3-7320U,8,DDR5,256,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38,"372,99"
Intel Core i7-1255U,16,DDR5,1,Intel Iris Xe Graphics,16,1920x1080,Windows 11 Home,51,"754,99"
Qualcomm Snapdragon-X1E-80-100,16,DDR5,256,Qualcomm Adreno GPU,15,2496x1664,Windows 11 Home,66,"1530,00"
Intel Core Ultra 7-155H,16,DDR5,512,Intel Arc Graphics,16,2560x1600,FreeDOS,77,"1356,00"
AMD Ryzen 5-5500U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38,"635,00"
Intel Core Ultra 7-155H,32,DDR5,1,Intel Arc Graphics,15.6,1920x1080,Windows 11 Home,72,"1527,99"
Intel Core Ultra 7-155U,32,DDR5,1,Intel Graphics,14,1920x1200,Windows 11 Pro,58,"2298,00"
Qualcomm Snapdragon-X1E-80-100,16,DDR5,512,Qualcomm Adreno GPU,15,2496x1664,Windows 11 Home,66,"1734,99"
AMD Ryzen 7-5700U,8,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38,"543,04"
Intel Core i7-1255U,8,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,42,"564,02"
Intel Core i7-1255U,8,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38,"630,00"
Intel Core i5-1130G7,8,DDR4,256,Intel Iris Xe Graphics,14,1920x1080,ChromeOS,54,"929,99"
Intel Core i5-13420H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47,"739,00"
AMD Ryzen 5-5500U,8,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38,"562,99"
Intel Core i5-12450H,16,DDR5,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47,"652,00"
Intel Core i5-13420H,16,DDR4,512,Intel Iris Xe Graphics,17.3,1920x1080,Windows 11 Home,45,"773,00"
Intel Core i3-1315U,8,DDR4,256,Intel® UHD Graphics,17.3,1920x1080,Windows 11 Home,45,"601,99"
Intel Core Ultra 7-155H,32,DDR5,2,Intel Arc Graphics,16,2560x1600,Windows 11 Home,77,"1851,00"
Intel Core i3-1315U,8,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,No,38,"380,99"
Intel Core Ultra 7-155H,16,DDR5,512,Intel Arc Graphics,15.6,1920x1080,Windows 11 Home,72,"1125,00"
Intel Core Ultra 7-155H,16,DDR5,1,Intel Arc Graphics,17,2560x1600,Windows 11 Home,77,"1728,99"
Intel Core Ultra 7-155U,16,DDR5,1,Intel Graphics,14,1920x1200,Windows 11 Pro,57,"1575,99"
AMD 3000-3020E,8,DDR4,256,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42,"538,99"
Intel Core Ultra 7-155U,16,DDR5,512,Intel Graphics,16,1920x1200,Windows 11 Pro,57,"1558,00"
Intel Core i9-14900HX,32,DDR5,1,Intel® UHD Graphics,16,2560x1600,Windows 11 Home,95,"3906,33"
Intel Core i7-11700K,32,DDR4,1000,Intel UHD Graphics 750,,,Windows 10 Home,,"2943,00"
Intel Core Ultra 7-155H,16,DDR5,512,Intel Arc Graphics,17,2560x1600,Windows 11 Home,77,"1378,00"
Intel Core i5-1235U,8,DDR5,256,Intel Iris Xe Graphics,12.4,1536x1024,Windows 11 Home,41,"1134,99"
Intel Core i5-1235U,8,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Pro,40,"540,00"
Intel Core Ultra 5-125U,16,DDR5,512,Intel Graphics,13.3,1920x1200,Windows 11 Pro,54,"1826,99"
Intel Core 5-120U,16,DDR5,512,Intel Graphics,14,1920x1200,Windows 11 Pro,53,"943,99"
Qualcomm Snapdragon-X1P-42-100,16,DDR5,1,Qualcomm Adreno GPU,14,1920x1200,Windows 11 Home,57,"1111,99"
AMD Ryzen 7-7730U,8,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38,"548,00"
AMD Ryzen 5 PRO-7530U,16,DDR4,512,AMD Radeon Graphics,13.3,1920x1200,Windows 11 Pro,46,"1086,99"
AMD Ryzen AI 9-365,32,DDR5,1,AMD Radeon 880M,14.5,2880x1800,Windows 11 Home,73,"1908,99"
AMD Ryzen 5-7535U,16,DDR5,512,AMD Radeon 660M,14,1920x1200,Windows 11 Pro,57,"1083,99"
Intel Core i7-1255U,8,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,48,"616,00"
Intel Core i5-1335U,16,DDR4,512,Intel Iris Xe Graphics,14,1920x1200,Windows 11 Pro,50,"770,99"
Intel Core i3 N-series-i3-N305,8,DDR5,128,Intel® UHD Graphics,14,1920x1080,ChromeOS,,"624,99"
AMD Ryzen AI 7 PRO-360,32,DDR5,512,AMD Radeon 880M,14,1920x1200,Windows 11 Pro,58,"2158,99"
Intel Core Ultra 7-155U,16,DDR5,512,Intel Graphics,14,1920x1200,Windows 11 Pro,57,"2830,00"
Intel Core i7-13700H,16,DDR5,1,Intel Iris Xe Graphics,16,3840x2400,Windows 11 Home,88,"1510,99"
AMD Ryzen 7-5825C,16,DDR4,256,AMD Radeon Graphics,14,1920x1080,ChromeOS,,"962,00"
Intel Core i5-1135G7,8,DDR4,128,Intel Iris Xe Graphics,15.6,1920x1080,ChromeOS,,"780,99"
Intel Core i5-1340P,16,DDR5,512,Intel Iris Xe Graphics,15.6,1920x1080,No,80,"1001,00"
Intel Core Ultra 7-155U,16,DDR5,512,Intel Graphics,14,1920x1200,Windows 11 Pro,57,"1553,99"
Intel Core Ultra 5-125U,8,DDR5,256,Intel Graphics,14,1920x1200,Windows 11 Pro,45,"835,99"
Intel Core Ultra 7-155H,32,DDR5,1,Intel Arc Graphics,16,1920x1200,Windows 11 Pro,75,"2324,00"
Intel Core i7-12650HX,16,DDR5,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,57,"1100,99"
