Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Tipo,CPU_Generation,Quality_Score,Value_Score,es_chollo_pred,probabilidad_chollo
Apple M-M4 Max,36.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,3669.51,Apple,4,218.2,0.059462980070908646,0,0.0
Apple M-M4 Pro,24.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,2812.58,Apple,4,214.6,0.07630005190963457,0,0.01
Apple M-M4 Max,36.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3955.16,Apple,4,221.0,0.05587637415426936,0,0.0
Apple M-M3,16.0,,256.0,Apple GPU,15.3,2880x1864,macOS Sequoia,66.0,1527.19,Apple,3,212.6,0.13920992148979497,0,0.03
Intel Core i7-13700H,16.0,DDR5,512.0,,16.0,1920x1200,FreeDOS,54.0,1145.35,Intel,7,462.6,0.40389400619897853,1,0.97
Intel Core i5-13420H,8.0,DDR4,512.0,Intel® UHD Graphics,14.0,1920x1080,FreeDos,38.0,501.99,Intel,5,358.6,0.7143568596984003,1,1.0
AMD Ryzen 7-5700U,8.0,DDR4,512.0,AMD Radeon,15.6,1920x1080,Windows 10 Home en modo S,38.0,698.99,AMD,0,108.60000000000001,0.15536702957123852,0,0.03
Intel Core i7-13700H,16.0,DDR5,512.0,Intel Iris Xe Graphics,14.5,2560x1600,Windows 11 Home,73.0,1333.99,Intel,7,464.5,0.34820350977143755,1,1.0
Intel Core i7-1355U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38.0,683.0,Intel,7,461.0,0.6749633967789166,1,1.0
AMD Ryzen 5-7520U,16.0,DDR5,512.0,AMD Radeon 610M,15.6,1920x1080,No,38.0,469.0,AMD,0,111.0,0.23667377398720682,0,0.05
Intel Core i3-1115G4,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,No,45.0,258.99,Intel,3,208.1,0.8035059268697633,1,0.7
Intel Core i5-13420H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,38.0,596.99,Intel,5,361.0,0.6047002462352803,1,1.0
Intel Core i3-1215U,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,38.0,393.99,Intel,3,207.4,0.5264092997284195,1,0.83
Intel Core i5-,8.0,DDR4,256.0,Intel® UHD Graphics 620,13.3,1920x1080,Windows 10 Pro,51.0,329.89,Intel,5,308.7,0.9357664676104156,1,0.9
Intel Core i7-1355U,16.0,DDR5,1.0,Intel Iris Xe Graphics,13.3,2880x1800,Windows 11 Home,80.0,2327.99,Intel,7,363.0,0.15592850484752943,1,0.87
Intel Core i7-1355U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38.0,622.99,Intel,7,458.6,0.7361273856723222,1,1.0
Intel Core i7-1255U,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,48.0,641.0,Intel,7,462.0,0.7207488299531981,1,0.99
Intel Core i7-1360P,32.0,DDR5,1.0,Intel Iris Xe Graphics,17.0,2560x1600,Windows 11 Home,90.0,1817.0,Intel,7,368.8,0.20297193175564118,1,0.82
AMD Ryzen 7-5700U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,No,42.0,645.99,AMD,0,111.4,0.17244848991470457,0,0.0
Intel Core i5-12450H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47.0,689.0,Intel,5,259.7,0.3769230769230769,1,0.91
AMD Ryzen 7-5700U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,48.0,562.99,AMD,0,112.0,0.1989378141707668,0,0.02
